ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season,Crop_status 
24199,3336,1,1,2,10,34.0,21,2,0
24200,3337,1,1,2,15,37.0,21,1,0
24201,3336,1,1,2,20,18.0,36,1,0
24202,3336,1,1,2,30,43.0,10,1,0
24203,3337,1,1,2,40,44.0,16,3,0
24204,3337,1,1,2,20,50.0,11,2,1
24205,3337,1,1,2,20,27.0,31,3,1
24206,3337,1,1,2,20,30.0,31,1,1
24207,3337,1,1,2,40,48.0,12,2,1
24208,3336,1,1,2,70,41.0,14,2,1
24209,3337,1,1,2,10,44.0,9,3,1
24210,3515,1,1,2,20,30.0,27,2,0
24211,3516,1,1,2,5,52.0,7,3,0
24212,3516,1,1,2,10,56.0,5,1,0
24213,3516,1,1,2,20,19.0,27,1,0
24214,3516,1,1,2,20,40.0,21,2,0
24215,3516,1,1,2,20,44.0,23,3,0
24216,3516,1,1,2,40,43.0,20,3,0
24217,3515,1,1,2,60,28.0,12,2,0
24218,3516,1,1,2,20,44.0,14,2,1
24219,3516,1,1,2,15,29.0,29,1,1
24220,3516,1,1,2,20,16.0,42,3,1
24221,3516,1,1,2,20,56.0,5,3,1
24222,3702,1,1,2,20,33.0,29,2,0
24223,3702,1,1,2,5,30.0,23,3,0
24224,3702,1,1,2,40,11.0,47,3,0
24225,3702,1,1,2,80,28.0,18,1,0
24226,3702,1,1,2,40,50.0,10,1,2
24228,3895,1,1,2,40,29.0,32,1,0
24229,3895,1,1,2,40,32.0,39,2,0
24230,3895,1,1,2,10,13.0,44,2,1
24231,4096,1,1,2,20,34.0,25,1,0
24232,4096,1,1,2,20,60.0,11,1,0
24233,4096,1,1,2,35,43.0,22,1,0
24234,4096,1,1,2,40,22.0,40,2,0
24235,4096,1,1,2,10,47.0,15,2,1
24236,4096,1,1,2,40,20.0,40,3,1
24237,151,0,1,2,15,15.0,5,3,0
24238,151,0,1,2,20,21.0,1,2,0
24239,150,0,1,2,40,14.0,1,2,0
24241,209,0,1,2,30,20.0,0,2,0
24242,209,0,1,2,60,16.0,5,2,0
24243,232,0,1,2,20,14.0,7,1,0
24244,232,0,1,2,25,24.0,2,2,0
24245,256,0,1,2,10,10.0,10,1,0
24246,257,0,1,2,40,19.0,3,1,0
24247,283,0,1,2,10,22.0,3,2,0
24249,311,0,1,2,25,19.0,6,3,0
24250,342,0,1,2,5,10.0,12,1,0
24251,342,0,1,2,10,20.0,2,2,0
24252,342,0,1,2,20,21.0,6,2,0
24253,342,0,1,2,30,10.0,1,1,0
24254,342,0,1,2,40,21.0,3,1,0
24255,375,0,1,2,10,20.0,0,3,0
24256,375,0,1,2,20,16.0,14,1,0
24257,375,0,1,2,20,18.0,4,2,0
24258,375,0,1,2,20,27.0,4,1,0
24259,375,0,1,2,30,27.0,2,1,0
24260,375,0,1,2,40,20.0,1,2,0
24261,411,0,1,2,30,9.0,14,3,0
24262,411,0,1,2,5,14.0,10,1,0
24263,410,0,1,2,5,25.0,10,2,0
24264,410,0,1,2,10,9.0,14,2,0
24265,410,0,1,2,10,18.0,13,1,0
24266,411,0,1,2,15,21.0,6,1,0
24267,410,0,1,2,15,23.0,9,3,0
24268,410,0,1,2,20,16.0,8,2,0
24269,410,0,1,2,20,22.0,10,1,0
24270,410,0,1,2,20,27.0,0,1,0
24271,410,0,1,2,25,17.0,5,2,0
24272,410,0,1,2,25,18.0,11,3,0
24273,410,0,1,2,25,23.0,2,3,0
24276,410,0,1,2,40,18.0,15,2,0
24277,411,0,1,2,45,19.0,10,2,0
24278,448,0,1,2,5,16.0,16,1,0
24279,448,0,1,2,15,13.0,14,1,0
24280,448,0,1,2,15,18.0,5,2,0
24281,448,0,1,2,15,19.0,9,3,0
24282,448,0,1,2,25,10.0,16,1,0
24283,448,0,1,2,30,13.0,14,1,0
24284,448,0,1,2,30,17.0,10,1,0
24285,448,0,1,2,35,12.0,16,1,0
24286,448,0,1,2,40,13.0,16,2,0
24287,448,0,1,2,40,15.0,11,2,0
24288,448,0,1,2,40,20.0,8,1,0
24289,448,0,1,2,45,23.0,2,3,0
24290,448,0,1,2,50,23.0,5,2,0
24291,448,0,1,2,60,10.0,14,2,0
24292,448,0,1,2,60,14.0,6,1,0
24293,448,0,1,2,70,15.0,16,3,0
24294,489,0,1,2,20,27.0,6,2,0
24296,488,0,1,2,10,6.0,17,3,0
24297,488,0,1,2,10,17.0,12,3,0
24299,488,0,1,2,15,25.0,5,2,0
24300,488,0,1,2,20,17.0,9,3,0
24301,488,0,1,2,20,17.0,14,2,0
24302,488,0,1,2,20,25.0,7,2,0
24303,488,0,1,2,20,28.0,2,3,0
24304,488,0,1,2,20,30.0,1,2,0
24305,488,0,1,2,30,24.0,1,2,0
24306,488,0,1,2,35,32.0,1,2,0
24307,488,0,1,2,40,20.0,9,2,0
24308,488,0,1,2,50,15.0,12,1,0
24309,488,0,1,2,50,23.0,9,1,0
24310,488,0,1,2,60,19.0,12,2,0
24312,489,0,1,2,60,26.0,2,2,0
24313,531,0,1,2,10,23.0,5,1,0
24314,531,0,1,2,10,26.0,4,3,0
24315,531,0,1,2,20,5.0,8,1,0
24316,531,0,1,2,20,9.0,17,3,0
24317,531,0,1,2,20,12.0,16,2,0
24318,531,0,1,2,20,17.0,2,3,0
24320,531,0,1,2,20,20.0,11,2,0
24321,531,0,1,2,20,31.0,0,2,0
24322,531,0,1,2,25,21.0,13,2,0
24323,531,0,1,2,30,14.0,18,2,0
24324,531,0,1,2,30,18.0,15,1,0
24325,531,0,1,2,30,21.0,4,3,0
24326,531,0,1,2,30,22.0,8,2,0
24327,531,0,1,2,35,7.0,2,1,0
24328,531,0,1,2,40,13.0,16,3,0
24329,531,0,1,2,40,14.0,12,2,0
24330,531,0,1,2,40,22.0,10,2,0
24331,531,0,1,2,40,22.0,13,2,0
24332,531,0,1,2,45,27.0,6,1,0
24333,531,0,1,2,50,18.0,17,2,0
24334,531,0,1,2,60,31.0,3,2,0
24335,531,0,1,2,35,25.0,8,2,1
24336,577,0,1,2,5,14.0,13,2,0
24337,577,0,1,2,5,20.0,9,1,0
24338,577,0,1,2,10,29.0,4,1,0
24339,577,0,1,2,15,13.0,19,1,0
24340,577,0,1,2,15,23.0,4,1,0
24341,577,0,1,2,15,23.0,5,2,0
24342,577,0,1,2,20,8.0,6,1,0
24343,577,0,1,2,20,27.0,3,2,0
24344,577,0,1,2,20,31.0,2,2,0
24345,577,0,1,2,25,12.0,17,3,0
24346,577,0,1,2,25,14.0,18,2,0
24347,577,0,1,2,25,16.0,7,2,0
24348,577,0,1,2,25,16.0,16,2,0
24350,577,0,1,2,25,25.0,6,1,0
24351,577,0,1,2,25,32.0,0,2,0
24352,577,0,1,2,30,15.0,17,2,0
24353,577,0,1,2,30,29.0,1,2,0
24354,577,0,1,2,30,33.0,2,2,0
24355,577,0,1,2,35,23.0,8,1,0
24356,577,0,1,2,40,12.0,17,1,0
24358,577,0,1,2,40,31.0,0,3,0
24359,577,0,1,2,50,18.0,13,1,0
24360,577,0,1,2,50,23.0,1,2,0
24361,577,0,1,2,60,15.0,10,1,0
24362,577,0,1,2,60,18.0,6,1,0
24363,577,0,1,2,25,25.0,12,1,2
24364,625,0,1,2,5,27.0,5,2,0
24365,626,0,1,2,10,11.0,15,2,0
24366,625,0,1,2,10,15.0,10,2,0
24367,625,0,1,2,10,16.0,18,3,0
24368,625,0,1,2,10,20.0,7,2,0
24369,625,0,1,2,10,22.0,8,2,0
24370,625,0,1,2,15,16.0,20,3,0
24371,625,0,1,2,20,10.0,1,2,0
24372,625,0,1,2,20,10.0,13,1,0
24373,626,0,1,2,20,19.0,10,2,0
24374,626,0,1,2,20,25.0,14,2,0
24375,625,0,1,2,20,29.0,6,3,0
24377,625,0,1,2,30,16.0,14,2,0
24378,625,0,1,2,30,20.0,15,1,0
24379,625,0,1,2,30,21.0,11,2,0
24380,626,0,1,2,40,17.0,7,2,0
24381,625,0,1,2,40,21.0,8,2,0
24382,626,0,1,2,40,30.0,0,2,0
24383,625,0,1,2,60,14.0,15,1,0
24384,625,0,1,2,65,14.0,0,3,0
24385,625,0,1,2,75,25.0,16,2,0
24386,626,0,1,2,80,17.0,18,2,0
24387,677,0,1,2,40,18.0,18,3,0
24388,677,0,1,2,5,10.0,9,2,0
24389,677,0,1,2,10,22.0,9,1,0
24391,677,0,1,2,10,24.0,2,1,0
24392,677,0,1,2,10,26.0,7,2,0
24393,677,0,1,2,10,31.0,4,1,0
24394,677,0,1,2,15,12.0,17,2,0
24395,677,0,1,2,15,17.0,18,2,0
24396,677,0,1,2,15,21.0,16,2,0
24397,677,0,1,2,20,7.0,20,2,0
24398,677,0,1,2,20,8.0,5,2,0
24399,677,0,1,2,20,14.0,19,2,0
24400,677,0,1,2,20,30.0,4,3,0
24401,677,0,1,2,20,30.0,11,2,0
24402,677,0,1,2,20,32.0,2,2,0
24403,677,0,1,2,25,10.0,6,3,0
24404,677,0,1,2,25,21.0,10,3,0
24405,677,0,1,2,25,21.0,17,2,0
24406,677,0,1,2,25,25.0,10,1,0
24408,677,0,1,2,30,7.0,5,2,0
24410,677,0,1,2,30,25.0,9,2,0
24411,677,0,1,2,40,18.0,19,2,0
24412,677,0,1,2,40,20.0,2,2,0
24413,677,0,1,2,40,28.0,7,1,0
24415,677,0,1,2,40,33.0,1,2,0
24417,677,0,1,2,45,32.0,1,2,0
24418,677,0,1,2,60,26.0,11,2,0
24419,677,0,1,2,60,32.0,2,1,0
24420,677,0,1,2,80,16.0,20,1,0
24421,677,0,1,2,80,22.0,15,2,0
24422,677,0,1,2,50,30.0,3,2,1
24423,732,0,1,2,20,16.0,17,2,0
24424,731,0,1,2,10,18.0,14,2,0
24425,732,0,1,2,20,9.0,17,2,0
24426,731,0,1,2,20,11.0,19,2,0
24427,732,0,1,2,20,16.0,18,1,0
24428,731,0,1,2,20,34.0,5,1,0
24429,731,0,1,2,25,18.0,18,3,0
24430,731,0,1,2,25,20.0,2,2,0
24431,732,0,1,2,25,20.0,4,2,0
24432,732,0,1,2,30,10.0,18,3,0
24433,731,0,1,2,30,14.0,15,2,0
24434,732,0,1,2,30,37.0,3,2,0
24435,732,0,1,2,35,28.0,4,2,0
24437,732,0,1,2,40,14.0,19,2,0
24438,731,0,1,2,40,14.0,21,2,0
24439,732,0,1,2,40,15.0,12,2,0
24440,731,0,1,2,40,15.0,22,1,0
24441,731,0,1,2,40,22.0,15,3,0
24442,732,0,1,2,40,29.0,6,2,0
24443,731,0,1,2,40,32.0,0,2,0
24444,732,0,1,2,40,33.0,0,3,0
24445,731,0,1,2,40,37.0,3,3,0
24446,732,0,1,2,50,23.0,6,3,0
24447,731,0,1,2,50,27.0,9,1,0
24448,731,0,1,2,50,28.0,3,2,0
24449,732,0,1,2,50,29.0,4,3,0
24450,731,0,1,2,50,37.0,2,1,0
24451,731,0,1,2,60,30.0,5,2,0
24452,732,0,1,2,20,13.0,13,2,1
24453,789,0,1,2,30,25.0,10,3,0
24454,789,0,1,2,10,5.0,18,2,0
24455,789,0,1,2,10,10.0,13,1,0
24456,789,0,1,2,10,13.0,20,3,0
24457,790,0,1,2,10,14.0,23,1,0
24458,790,0,1,2,15,5.0,16,2,0
24459,789,0,1,2,15,18.0,20,2,0
24460,790,0,1,2,15,20.0,16,3,0
24461,789,0,1,2,20,10.0,10,2,0
24463,790,0,1,2,20,22.0,16,3,0
24464,790,0,1,2,20,26.0,7,3,0
24465,790,0,1,2,25,14.0,23,1,0
24466,790,0,1,2,30,16.0,22,3,0
24467,789,0,1,2,30,25.0,7,2,0
24468,790,0,1,2,30,28.0,1,2,0
24469,789,0,1,2,40,13.0,18,2,0
24470,789,0,1,2,40,22.0,11,2,0
24471,790,0,1,2,40,23.0,17,3,0
24472,789,0,1,2,40,28.0,3,1,0
24473,789,0,1,2,45,36.0,2,1,0
24476,789,0,1,2,60,25.0,15,1,0
24477,789,0,1,2,40,25.0,10,2,1
24478,851,0,1,2,20,15.0,21,2,0
24479,851,0,1,2,60,18.0,20,2,0
24480,851,0,1,2,5,12.0,24,3,0
24481,851,0,1,2,10,39.0,4,2,0
24482,851,0,1,2,10,40.0,1,2,0
24483,851,0,1,2,15,15.0,14,2,0
24484,851,0,1,2,15,27.0,1,1,0
24485,851,0,1,2,20,6.0,22,2,0
24486,851,0,1,2,20,8.0,24,1,0
24487,850,0,1,2,20,15.0,17,2,0
24489,851,0,1,2,20,27.0,9,1,0
24491,851,0,1,2,20,35.0,3,1,0
24492,851,0,1,2,25,27.0,2,2,0
24493,851,0,1,2,30,16.0,18,1,0
24494,851,0,1,2,30,24.0,10,2,0
24495,851,0,1,2,30,25.0,9,3,0
24496,851,0,1,2,30,34.0,5,1,0
24497,850,0,1,2,35,25.0,8,3,0
24498,851,0,1,2,40,21.0,1,3,0
24499,851,0,1,2,40,28.0,6,3,0
24500,851,0,1,2,40,37.0,2,2,0
24501,851,0,1,2,45,20.0,13,3,0
24502,851,0,1,2,50,36.0,10,1,0
24503,915,0,1,2,5,10.0,23,3,0
24504,915,0,1,2,10,17.0,20,1,0
24505,915,0,1,2,10,33.0,6,3,0
24506,916,0,1,2,15,13.0,11,2,0
24507,915,0,1,2,20,21.0,15,1,0
24508,915,0,1,2,20,24.0,12,2,0
24509,916,0,1,2,20,29.0,11,3,0
24510,916,0,1,2,20,30.0,9,2,0
24511,916,0,1,2,25,32.0,6,2,0
24512,915,0,1,2,30,31.0,1,2,0
24514,915,0,1,2,35,20.0,18,1,0
24515,915,0,1,2,35,29.0,8,2,0
24516,915,0,1,2,45,20.0,11,2,0
24517,916,0,1,2,50,20.0,25,2,0
24518,915,0,1,2,50,22.0,23,1,0
24519,915,0,1,2,50,24.0,15,1,0
24520,916,0,1,2,60,15.0,22,2,0
24521,916,0,1,2,40,26.0,11,1,1
24522,916,0,1,2,40,30.0,7,1,1
24523,984,0,1,2,20,20.0,22,3,0
24524,984,0,1,2,30,24.0,15,3,0
24525,984,0,1,2,5,25.0,6,2,0
24526,984,0,1,2,10,15.0,16,3,0
24527,984,0,1,2,10,16.0,21,1,0
24528,984,0,1,2,10,18.0,21,3,0
24529,984,0,1,2,10,35.0,1,1,0
24530,984,0,1,2,15,13.0,24,1,0
24531,984,0,1,2,15,32.0,2,3,0
24532,984,0,1,2,15,32.0,3,1,0
24533,984,0,1,2,20,11.0,25,2,0
24534,984,0,1,2,20,12.0,26,2,0
24535,984,0,1,2,20,16.0,11,2,0
24536,984,0,1,2,20,27.0,14,2,0
24537,984,0,1,2,25,14.0,23,1,0
24538,984,0,1,2,25,16.0,17,1,0
24540,984,0,1,2,30,10.0,25,2,0
24541,984,0,1,2,30,12.0,23,3,0
24542,984,0,1,2,30,16.0,21,2,0
24543,984,0,1,2,30,21.0,14,2,0
24544,984,0,1,2,30,24.0,16,2,0
24545,984,0,1,2,30,38.0,2,1,0
24546,984,0,1,2,30,43.0,1,2,0
24548,984,0,1,2,40,20.0,21,3,0
24549,984,0,1,2,40,23.0,16,1,0
24550,984,0,1,2,40,24.0,0,3,0
24551,984,0,1,2,40,26.0,10,3,0
24552,984,0,1,2,45,14.0,25,2,0
24553,984,0,1,2,45,15.0,23,2,0
24555,984,0,1,2,50,18.0,11,2,0
24557,984,0,1,2,60,19.0,20,2,0
24558,984,0,1,2,60,23.0,11,2,0
24559,984,0,1,2,60,38.0,2,2,0
24560,984,0,1,2,70,37.0,4,1,0
24561,1056,0,1,2,10,22.0,15,1,0
24562,1056,0,1,2,10,14.0,25,3,0
24563,1056,0,1,2,10,32.0,7,2,0
24564,1056,0,1,2,15,9.0,25,1,0
24565,1056,0,1,2,15,36.0,8,2,0
24566,1056,0,1,2,20,13.0,18,1,0
24567,1056,0,1,2,20,15.0,21,2,0
24568,1056,0,1,2,20,16.0,13,3,0
24569,1056,0,1,2,20,25.0,4,2,0
24570,1056,0,1,2,20,31.0,12,2,0
24571,1056,0,1,2,20,43.0,2,2,0
24572,1056,0,1,2,25,11.0,27,2,0
24573,1056,0,1,2,25,30.0,12,3,0
24575,1056,0,1,2,30,30.0,10,1,0
24576,1056,0,1,2,30,37.0,1,1,0
24577,1056,0,1,2,35,21.0,22,2,0
24578,1056,0,1,2,35,32.0,9,2,0
24579,1056,0,1,2,40,12.0,24,2,0
24580,1056,0,1,2,40,29.0,13,2,0
24582,1056,0,1,2,40,38.0,5,2,0
24583,1056,0,1,2,45,17.0,21,1,0
24584,1056,0,1,2,45,26.0,19,1,0
24585,1056,0,1,2,45,32.0,12,2,0
24586,1056,0,1,2,50,23.0,19,2,0
24587,1056,0,1,2,50,37.0,0,3,0
24588,1056,0,1,2,60,18.0,19,1,0
24589,1056,0,1,2,60,18.0,25,3,0
24590,1056,0,1,2,60,22.0,20,2,0
24591,1056,0,1,2,60,25.0,16,2,0
24592,1056,0,1,2,35,20.0,16,2,1
24593,1056,0,1,2,40,28.0,14,3,1
24594,1056,0,1,2,50,41.0,3,3,1
24595,1132,0,1,2,30,30.0,10,1,0
24596,1132,0,1,2,5,9.0,28,3,0
24597,1132,0,1,2,5,17.0,21,2,0
24598,1132,0,1,2,5,39.0,3,2,0
24599,1132,0,1,2,10,10.0,10,3,0
24601,1132,0,1,2,10,20.0,2,2,0
24602,1132,0,1,2,10,25.0,18,2,0
24604,1132,0,1,2,15,17.0,20,2,0
24605,1132,0,1,2,15,27.0,15,2,0
24606,1132,0,1,2,15,31.0,12,3,0
24607,1132,0,1,2,20,13.0,28,3,0
24608,1132,0,1,2,20,24.0,10,3,0
24609,1132,0,1,2,20,29.0,14,1,0
24610,1132,0,1,2,20,32.0,2,3,0
24611,1132,0,1,2,25,10.0,27,2,0
24612,1132,0,1,2,25,40.0,0,1,0
24613,1132,0,1,2,25,46.0,3,3,0
24614,1132,0,1,2,30,15.0,26,1,0
24615,1132,0,1,2,30,25.0,17,3,0
24616,1132,0,1,2,40,25.0,16,2,0
24617,1132,0,1,2,40,30.0,4,3,0
24618,1132,0,1,2,40,32.0,11,3,0
24619,1132,0,1,2,40,33.0,14,1,0
24620,1132,0,1,2,40,42.0,1,2,0
24621,1132,0,1,2,50,42.0,0,2,0
24622,1132,0,1,2,55,33.0,7,2,0
24624,1132,0,1,2,60,36.0,1,1,0
24625,1132,0,1,2,60,36.0,6,3,0
24626,1132,0,1,2,90,41.0,2,2,0
24627,1132,0,1,2,20,20.0,20,2,1
24628,1212,0,1,2,10,13.0,27,2,0
24629,1212,0,1,2,10,31.0,9,3,0
24630,1212,0,1,2,10,33.0,9,3,0
24631,1212,0,1,2,10,37.0,5,2,0
24632,1212,0,1,2,15,23.0,24,2,0
24633,1212,0,1,2,20,10.0,24,3,0
24634,1212,0,1,2,20,11.0,27,2,0
24635,1212,0,1,2,20,15.0,1,2,0
24636,1212,0,1,2,20,19.0,20,2,0
24637,1212,0,1,2,20,20.0,20,2,0
24638,1212,0,1,2,20,40.0,2,2,0
24639,1212,0,1,2,25,35.0,4,2,0
24640,1212,0,1,2,25,37.0,4,1,0
24641,1212,0,1,2,25,40.0,0,2,0
24642,1212,0,1,2,30,16.0,14,2,0
24643,1212,0,1,2,30,27.0,12,2,0
24644,1212,0,1,2,30,33.0,0,2,0
24645,1212,0,1,2,40,25.0,20,2,0
24646,1212,0,1,2,40,39.0,1,3,0
24647,1212,0,1,2,40,45.0,0,3,0
24648,1212,0,1,2,45,23.0,16,1,0
24649,1212,0,1,2,50,18.0,27,2,0
24650,1212,0,1,2,50,22.0,19,2,0
24651,1212,0,1,2,60,10.0,7,1,0
24652,1212,0,1,2,60,17.0,23,1,0
24653,1212,0,1,2,60,19.0,24,2,0
24654,1212,0,1,2,60,33.0,6,3,0
24655,1212,0,1,2,50,19.0,18,1,1
24656,1212,0,1,2,30,24.0,10,2,1
24657,1296,0,1,2,5,10.0,20,3,0
24658,1297,0,1,2,10,10.0,27,2,0
24659,1296,0,1,2,10,16.0,10,1,0
24660,1297,0,1,2,10,23.0,15,2,0
24662,1296,0,1,2,15,24.0,15,3,0
24663,1297,0,1,2,15,30.0,7,2,0
24664,1297,0,1,2,20,10.0,1,2,0
24665,1296,0,1,2,20,15.0,26,1,0
24666,1296,0,1,2,20,15.0,30,2,0
24667,1296,0,1,2,20,17.0,15,1,0
24668,1296,0,1,2,20,26.0,14,3,0
24669,1296,0,1,2,20,33.0,11,3,0
24670,1296,0,1,2,20,33.0,12,2,0
24671,1296,0,1,2,25,30.0,3,2,0
24672,1297,0,1,2,25,34.0,3,2,0
24673,1297,0,1,2,25,37.0,5,1,0
24674,1297,0,1,2,30,10.0,30,2,0
24675,1297,0,1,2,30,11.0,29,2,0
24677,1296,0,1,2,30,35.0,0,3,0
24678,1297,0,1,2,30,37.0,1,1,0
24680,1296,0,1,2,40,10.0,22,2,0
24681,1296,0,1,2,40,17.0,17,2,0
24682,1296,0,1,2,40,20.0,22,1,0
24683,1297,0,1,2,45,42.0,1,2,0
24684,1297,0,1,2,50,35.0,10,1,0
24685,1296,0,1,2,60,31.0,10,1,0
24686,1296,0,1,2,70,11.0,30,3,0
24687,1296,0,1,2,20,20.0,21,3,1
24688,1296,0,1,2,30,16.0,21,1,1
24689,1385,0,1,2,10,30.0,11,1,0
24690,1385,0,1,2,5,17.0,26,1,0
24691,1385,0,1,2,5,20.0,20,2,0
24693,1385,0,1,2,10,15.0,16,1,0
24695,1385,0,1,2,10,19.0,26,2,0
24696,1385,0,1,2,10,30.0,16,1,0
24697,1385,0,1,2,15,32.0,4,2,0
24698,1385,0,1,2,20,12.0,25,1,0
24699,1385,0,1,2,20,14.0,29,2,0
24700,1385,0,1,2,20,23.0,16,1,0
24701,1385,0,1,2,20,23.0,21,2,0
24702,1385,0,1,2,20,39.0,9,2,0
24703,1385,0,1,2,20,40.0,7,1,0
24706,1385,0,1,2,30,25.0,16,1,0
24707,1385,0,1,2,30,37.0,4,3,0
24708,1385,0,1,2,30,38.0,2,1,0
24709,1385,0,1,2,30,39.0,0,2,0
24710,1385,0,1,2,30,39.0,4,3,0
24711,1385,0,1,2,40,23.0,21,1,0
24712,1385,0,1,2,40,26.0,6,2,0
24714,1385,0,1,2,50,25.0,11,3,0
24715,1385,0,1,2,50,42.0,2,2,0
24716,1385,0,1,2,60,31.0,9,2,0
24717,1385,0,1,2,60,43.0,0,2,0
24718,1385,0,1,2,70,20.0,16,2,0
24719,1385,0,1,2,80,32.0,16,3,0
24720,1385,0,1,2,20,5.0,29,3,1
24721,1385,0,1,2,20,22.0,16,2,1
24722,1385,0,1,2,30,17.0,4,2,1
24723,1385,0,1,2,10,38.0,7,2,1
24724,1385,0,1,2,20,36.0,4,2,1
24725,1385,0,1,2,30,13.0,31,1,1
24726,1385,0,1,2,55,34.0,11,3,2
24727,1385,0,1,2,30,15.0,25,2,2
24728,1478,0,1,2,5,14.0,32,2,0
24729,1478,0,1,2,10,15.0,32,3,0
24730,1478,0,1,2,10,21.0,25,3,0
24731,1478,0,1,2,20,6.0,17,2,0
24732,1478,0,1,2,20,22.0,21,1,0
24733,1478,0,1,2,20,23.0,21,2,0
24734,1478,0,1,2,20,24.0,24,3,0
24735,1478,0,1,2,20,30.0,14,3,0
24736,1478,0,1,2,20,35.0,8,2,0
24737,1478,0,1,2,20,44.0,3,2,0
24738,1478,0,1,2,25,30.0,20,2,0
24740,1478,0,1,2,25,34.0,6,2,0
24741,1478,0,1,2,30,44.0,6,1,0
24742,1478,0,1,2,35,20.0,12,3,0
24743,1478,0,1,2,40,23.0,16,2,0
24744,1478,0,1,2,40,25.0,16,1,0
24745,1478,0,1,2,40,33.0,7,2,0
24746,1478,0,1,2,40,35.0,12,1,0
24747,1478,0,1,2,50,25.0,17,2,0
24748,1478,0,1,2,50,31.0,18,2,0
24749,1478,0,1,2,60,11.0,30,3,0
24751,1478,0,1,2,25,35.0,4,1,1
24752,1478,0,1,2,30,25.0,7,1,1
24753,1576,0,1,2,5,12.0,30,2,0
24754,1576,0,1,2,10,8.0,13,2,0
24755,1576,0,1,2,10,13.0,32,2,0
24756,1576,0,1,2,10,20.0,22,2,0
24757,1576,0,1,2,10,29.0,18,3,0
24758,1575,0,1,2,15,24.0,21,2,0
24759,1576,0,1,2,20,17.0,25,2,0
24760,1576,0,1,2,20,20.0,20,2,0
24761,1575,0,1,2,20,22.0,22,1,0
24762,1575,0,1,2,20,26.0,17,3,0
24763,1576,0,1,2,20,33.0,12,2,0
24764,1576,0,1,2,20,34.0,12,2,0
24765,1576,0,1,2,20,36.0,11,1,0
24766,1576,0,1,2,20,38.0,1,3,0
24767,1576,0,1,2,20,45.0,8,3,0
24768,1575,0,1,2,25,27.0,18,2,0
24769,1576,0,1,2,30,20.0,24,2,0
24770,1576,0,1,2,30,33.0,18,1,0
24771,1575,0,1,2,30,35.0,4,2,0
24772,1576,0,1,2,30,35.0,6,2,0
24773,1575,0,1,2,40,7.0,32,3,0
24774,1576,0,1,2,40,20.0,27,2,0
24775,1576,0,1,2,40,39.0,9,1,0
24776,1576,0,1,2,40,42.0,3,2,0
24777,1576,0,1,2,60,17.0,27,3,0
24778,1576,0,1,2,60,42.0,5,2,0
24779,1575,0,1,2,50,36.0,11,2,2
24780,1678,0,1,2,10,10.0,9,1,0
24781,1678,0,1,2,10,20.0,27,2,0
24782,1678,0,1,2,10,20.0,34,1,0
24783,1678,0,1,2,10,34.0,13,1,0
24784,1678,0,1,2,10,43.0,3,2,0
24785,1678,0,1,2,15,26.0,19,1,0
24786,1678,0,1,2,20,10.0,24,2,0
24788,1678,0,1,2,20,22.0,26,1,0
24789,1678,0,1,2,20,25.0,9,2,0
24790,1678,0,1,2,20,30.0,20,3,0
24791,1678,0,1,2,20,32.0,18,2,0
24792,1678,0,1,2,20,40.0,5,1,0
24793,1678,0,1,2,25,37.0,0,1,0
24795,1678,0,1,2,30,34.0,20,3,0
24796,1678,0,1,2,35,39.0,7,2,0
24797,1678,0,1,2,40,10.0,20,1,0
24798,1678,0,1,2,40,26.0,20,3,0
24799,1678,0,1,2,40,33.0,13,2,0
24800,1678,0,1,2,50,16.0,33,1,0
24801,1678,0,1,2,60,12.0,25,3,0
24802,1678,0,1,2,60,19.0,24,3,0
24803,1678,0,1,2,60,30.0,10,1,0
24805,1678,0,1,2,60,33.0,12,2,0
24806,1678,0,1,2,60,40.0,9,1,0
24807,1678,0,1,2,80,19.0,24,1,0
24808,1678,0,1,2,95,42.0,4,2,0
24809,1678,0,1,2,20,35.0,15,2,1
24811,1786,0,1,2,10,21.0,25,2,0
24814,1785,0,1,2,15,35.0,1,1,0
24816,1785,0,1,2,20,20.0,18,3,0
24817,1785,0,1,2,20,23.0,20,2,0
24818,1785,0,1,2,20,24.0,13,3,0
24819,1786,0,1,2,20,38.0,11,1,0
24820,1785,0,1,2,30,22.0,23,2,0
24821,1786,0,1,2,30,34.0,13,2,0
24823,1785,0,1,2,40,7.0,34,1,0
24826,1786,0,1,2,40,46.0,5,1,0
24827,1785,0,1,2,50,34.0,10,1,0
24828,1785,0,1,2,60,14.0,23,1,0
24829,1786,0,1,2,20,37.0,13,2,1
24830,1785,0,1,2,30,44.0,4,1,1
24831,1785,0,1,2,60,25.0,10,1,1
24832,1785,0,1,2,30,43.0,2,1,1
24833,1785,0,1,2,50,17.0,32,1,1
24835,1898,0,1,2,20,17.0,31,2,0
24836,1898,0,1,2,20,18.0,31,2,0
24837,1898,0,1,2,20,40.0,13,2,0
24839,1898,0,1,2,25,12.0,36,1,0
24840,1898,0,1,2,30,14.0,34,3,0
24841,1898,0,1,2,30,22.0,28,3,0
24842,1898,0,1,2,30,32.0,16,2,0
24843,1898,0,1,2,40,18.0,26,2,0
24844,1898,0,1,2,40,25.0,21,3,0
24845,1898,0,1,2,40,49.0,7,1,0
