ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season 
14937,448,0,1,2,15,25.0,4,2,0
14945,488,0,1,2,15,20.0,7,1,0
14952,531,0,1,2,30,32.0,0,3,0
14953,531,0,1,2,30,25.0,6,2,0
14957,577,0,1,2,15,12.0,19,2,0
14959,577,0,1,2,20,17.0,15,2,0
14970,625,0,1,2,10,14.0,18,2,0
14974,626,0,1,2,10,30.0,2,2,0
14981,625,0,1,2,30,20.0,12,2,0
14982,625,0,1,2,30,30.0,3,3,0
14988,677,0,1,2,20,30.0,2,1,0
14999,732,0,1,2,20,18.0,19,2,0
15005,731,0,1,2,40,30.0,2,2,0
15007,790,0,1,2,5,30.0,1,2,0
15017,789,0,1,2,65,15.0,18,1,0
15024,850,0,1,2,10,30.0,8,3,0
15028,851,0,1,2,20,32.0,4,2,0
15035,916,0,1,2,15,30.0,10,1,0
15038,916,0,1,2,20,30.0,7,3,0
15043,915,0,1,2,40,30.0,8,2,0
15055,984,0,1,2,20,36.0,3,2,0
15057,984,0,1,2,25,30.0,10,1,0
15072,1056,0,1,2,20,30.0,9,1,0
15075,1056,0,1,2,30,16.0,23,2,0
15091,1132,0,1,2,20,20.0,19,3,0
15095,1132,0,1,2,20,30.0,6,2,0
15101,1212,0,1,2,5,35.0,4,1,0
15105,1212,0,1,2,25,30.0,11,2,0
15106,1212,0,1,2,30,35.0,3,3,0
15137,1385,0,1,2,20,40.0,2,3,0
15148,1478,0,1,2,10,24.0,17,2,0
15157,1478,0,1,2,40,40.0,4,1,0
15171,1576,0,1,2,40,40.0,5,1,0
15181,1678,0,1,2,20,21.0,27,1,0
15188,1786,0,1,2,5,9.0,35,1,0
15189,1785,0,1,2,10,30.0,15,2,0
15221,1898,0,1,2,25,49.0,1,3,0
15226,2016,0,1,2,10,16.0,35,2,0
15229,2015,0,1,2,20,45.0,6,1,0
15248,2401,0,1,2,10,40.0,4,2,1
15255,2542,0,1,2,30,36.0,16,3,0
15273,2999,0,1,2,20,50.0,6,3,1
15278,3336,0,1,2,40,25.0,26,1,1
15283,3896,0,1,2,15,40.0,27,2,0
15288,625,1,0,1,0,0.0,0,1,2
15302,3702,1,1,1,0,0.0,0,2,0
15313,209,1,1,3,10,25.0,0,3,0
15337,342,1,1,3,35,25.0,0,2,0
15402,677,1,1,3,80,31.0,0,1,0
15424,789,1,1,3,5,45.0,0,2,0
15429,789,1,1,3,20,40.0,0,2,0
15438,851,1,1,3,5,37.0,0,3,0
15439,851,1,1,3,10,40.0,0,1,0
15458,915,1,0,3,10,35.0,0,3,0
15461,984,1,1,3,30,43.0,0,1,1
15478,1132,1,1,3,25,40.0,0,2,0
15485,1132,1,0,3,20,40.0,0,1,0
15486,1132,1,0,3,35,40.0,0,2,0
15487,1132,1,0,3,40,40.0,0,3,0
15489,1132,1,0,3,20,40.0,0,1,1
15497,1212,1,0,3,35,44.0,0,1,0
15502,1212,1,0,3,20,40.0,0,2,2
15503,1297,1,1,3,40,40.0,0,2,0
15504,1296,1,0,3,25,45.0,0,2,0
15509,1296,1,0,3,30,43.0,0,2,1
15512,1296,1,0,3,5,40.0,0,2,2
15532,1576,1,1,3,5,40.0,0,1,0
15539,1576,1,1,3,40,50.0,0,1,2
15548,1678,1,1,3,5,48.0,0,2,1
15550,1678,1,1,3,40,50.0,0,1,1
15555,1678,1,0,3,15,46.0,0,2,0
15567,1898,1,1,3,10,50.0,0,2,0
15575,2016,1,1,3,20,50.0,0,3,0
15591,2139,1,0,3,30,52.0,0,1,0
15592,2138,1,0,3,40,50.0,0,2,0
15608,2401,1,1,3,20,54.0,0,2,2
15615,2542,1,1,3,20,50.0,0,2,0
15620,2542,1,1,3,40,59.0,0,3,2
15629,2840,1,0,3,15,55.0,0,2,0
15660,150,0,0,3,20,13.0,0,3,0
15666,168,0,0,3,40,15.0,0,1,0
15668,188,0,0,3,5,17.0,0,2,0
15672,188,0,0,3,40,18.0,0,2,0
15677,209,0,1,3,50,26.0,0,2,0
15679,231,0,1,3,20,20.0,0,2,0
15680,232,0,1,3,40,24.0,0,2,0
15692,312,0,0,3,5,18.0,0,3,0
15697,342,0,0,3,60,26.0,0,1,0
15702,375,0,0,3,20,22.0,0,2,0
15708,410,0,1,3,30,30.0,0,2,0
15720,489,0,1,3,10,32.0,0,3,0
15727,488,0,1,3,40,32.0,0,2,1
15728,488,0,1,3,30,30.0,0,1,1
15736,531,0,0,3,10,32.0,0,1,0
15738,531,0,0,3,20,32.0,0,2,0
15758,677,0,1,3,5,29.0,0,3,0
15770,677,0,1,3,10,31.0,0,3,2
15772,731,0,1,3,15,36.0,0,2,0
15790,789,0,0,3,30,35.0,0,1,0
15814,916,0,0,3,15,35.0,0,2,0
15817,984,0,1,3,5,46.0,0,1,0
15818,984,0,1,3,5,30.0,0,2,0
15826,984,0,0,3,40,38.0,0,3,0
15863,1296,0,1,3,20,40.0,0,2,0
15888,1575,0,0,3,5,40.0,0,2,0
15891,1576,0,0,3,20,45.0,0,2,0
15897,1678,0,0,3,5,48.0,0,2,0
15925,2139,0,1,3,20,50.0,0,2,1
15928,2138,0,1,3,20,52.0,0,2,1
15959,2688,0,0,3,15,50.0,0,2,0
15968,2999,0,1,3,40,50.0,0,2,0
15987,168,1,1,2,30,22.0,1,2,0
15993,209,1,1,2,20,22.0,0,2,0
15998,312,1,1,2,40,25.0,0,2,0
15999,342,1,1,2,5,12.0,13,1,0
16003,375,1,1,2,10,30.0,1,1,0
16025,488,1,1,2,10,20.0,11,1,0
16036,531,1,1,2,20,16.0,14,1,0
16055,626,1,1,2,35,30.0,1,2,0
16069,677,1,1,2,30,34.0,0,2,0
16083,732,1,1,2,40,30.0,5,1,0
16087,789,1,1,2,10,30.0,5,1,0
16091,790,1,1,2,20,17.0,20,1,0
16092,789,1,1,2,30,30.0,7,2,0
16111,851,1,1,2,30,37.0,1,1,0
16122,915,1,1,2,5,18.0,23,3,0
16146,916,1,1,2,50,30.0,8,1,0
16159,984,1,1,2,40,21.0,21,2,0
16167,984,1,1,2,60,24.0,16,2,0
16177,1056,1,1,2,20,25.0,14,3,0
16179,1056,1,1,2,30,24.0,17,1,0
16190,1132,1,1,2,20,32.0,10,3,0
16197,1132,1,1,2,30,40.0,2,2,0
16204,1132,1,1,2,45,37.0,5,1,0
16217,1212,1,1,2,20,40.0,2,2,0
16220,1212,1,1,2,30,33.0,9,3,0
16226,1212,1,1,2,30,34.0,6,2,1
16235,1297,1,1,2,20,25.0,20,1,0
16236,1297,1,1,2,20,30.0,14,2,0
16245,1296,1,1,2,40,30.0,10,2,0
16248,1296,1,1,2,45,30.0,12,2,0
16251,1385,1,1,2,60,40.0,6,2,0
16266,1385,1,1,2,30,24.0,15,1,0
16272,1385,1,1,2,60,22.0,19,2,0
16282,1478,1,1,2,5,36.0,12,3,0
16283,1478,1,1,2,5,40.0,1,2,0
16284,1478,1,1,2,10,20.0,22,2,0
16289,1478,1,1,2,20,22.0,21,3,0
16325,1576,1,1,2,25,16.0,31,1,0
16367,1786,1,1,2,20,14.0,35,2,0
16370,1786,1,1,2,20,24.0,22,2,0
16373,1785,1,1,2,20,40.0,3,2,0
16412,2015,1,1,2,10,40.0,12,2,0
16461,2138,1,1,2,80,50.0,0,1,1
16472,2267,1,1,2,20,32.0,18,1,0
16475,2267,1,1,2,25,30.0,22,2,0
16480,2267,1,1,2,20,30.0,20,2,1
16490,2401,1,1,2,20,30.0,22,2,0
16500,2401,1,1,2,20,50.0,5,2,1
16503,2542,1,1,2,15,50.0,0,3,0
16508,2541,1,1,2,30,40.0,14,2,0
16510,2542,1,1,2,70,25.0,25,1,0
16512,2541,1,1,2,45,34.0,21,3,1
16518,2688,1,1,2,15,16.0,34,2,0
16523,2688,1,1,2,20,50.0,5,3,0
16532,2688,1,1,2,40,46.0,12,1,1
16537,2840,1,1,2,30,28.0,28,1,0
16557,3164,1,1,2,10,22.0,34,3,0
16562,3165,1,1,2,20,32.0,27,2,0
16573,3165,1,1,2,5,42.0,15,2,1
16575,3336,1,1,2,5,45.0,12,3,0
16582,3337,1,1,2,15,40.0,16,2,2
16593,3895,1,1,2,40,51.0,9,2,1
16601,188,1,0,2,40,10.0,7,3,0
16607,232,1,0,2,10,25.0,1,3,0
16614,283,1,0,2,25,22.0,1,2,0
16629,411,1,0,2,15,20.0,2,2,0
16633,410,1,0,2,20,25.0,3,3,0
16642,410,1,0,2,60,22.0,1,2,0
16649,448,1,0,2,20,12.0,12,1,0
16666,488,1,0,2,20,30.0,1,2,0
16716,577,1,0,2,25,22.0,9,1,0
16724,577,1,0,2,50,30.0,2,3,0
16729,577,1,0,2,20,13.0,19,1,2
16742,625,1,0,2,25,15.0,15,2,0
16760,677,1,0,2,10,20.0,2,3,0
16764,677,1,0,2,20,10.0,20,2,0
16767,677,1,0,2,20,19.0,13,2,0
16774,677,1,0,2,60,25.0,10,2,0
16787,732,1,0,2,20,33.0,3,1,0
16798,732,1,0,2,30,30.0,4,2,0
16805,732,1,0,2,50,30.0,4,2,0
16808,789,1,0,2,30,25.0,10,2,0
16809,789,1,0,2,60,25.0,13,3,0
16815,789,1,0,2,15,20.0,16,2,0
16816,789,1,0,2,15,16.0,17,1,0
16819,790,1,0,2,20,22.0,13,1,0
16828,790,1,0,2,30,12.0,23,2,0
16833,789,1,0,2,30,33.0,4,1,0
16864,851,1,0,2,40,20.0,15,2,0
16866,851,1,0,2,40,25.0,9,1,0
16873,916,1,0,2,10,25.0,12,1,0
16881,915,1,0,2,25,16.0,20,2,0
16886,916,1,0,2,30,35.0,4,2,0
16896,916,1,0,2,35,20.0,19,2,1
16910,984,1,0,2,20,33.0,5,1,0
16940,1056,1,0,2,40,30.0,9,2,0
16955,1132,1,0,2,20,32.0,7,3,0
16976,1132,1,0,2,60,19.0,20,1,1
16979,1212,1,0,2,10,13.0,24,2,0
16990,1212,1,0,2,30,20.0,18,2,0
16991,1212,1,0,2,30,30.0,12,2,0
17018,1296,1,0,2,20,12.0,28,2,0
17025,1296,1,0,2,30,20.0,23,2,0
17028,1297,1,0,2,40,10.0,29,1,0
17034,1297,1,0,2,50,40.0,1,2,0
17057,1385,1,0,2,30,30.0,13,2,0
17071,1385,1,0,2,40,40.0,3,2,2
17074,1478,1,0,2,10,40.0,2,2,0
17076,1478,1,0,2,15,40.0,4,1,0
17079,1478,1,0,2,20,40.0,0,2,0
17099,1478,1,0,2,50,45.0,2,2,0
17103,1478,1,0,2,80,27.0,21,2,0
17107,1478,1,0,2,20,45.0,2,3,1
17122,1576,1,0,2,40,35.0,10,1,0
17130,1575,1,0,2,20,37.0,11,1,1
17133,1678,1,0,2,40,20.0,24,2,0
17137,1678,1,0,2,10,40.0,7,2,0
17141,1678,1,0,2,20,20.0,25,2,0
17149,1678,1,0,2,40,30.0,17,2,0
17158,1785,1,0,2,10,20.0,27,1,0
17164,1785,1,0,2,15,16.0,31,3,0
17173,1786,1,0,2,20,40.0,6,1,0
17179,1785,1,0,2,30,40.0,9,1,0
17191,1898,1,0,2,15,30.0,19,2,0
17195,1898,1,0,2,20,30.0,21,2,0
17201,1898,1,0,2,20,42.0,4,2,0
17207,1898,1,0,2,50,24.0,23,1,0
17224,2016,1,0,2,20,30.0,20,2,0
17239,2016,1,0,2,20,30.0,17,3,1
17241,2016,1,0,2,10,20.0,27,3,1
17282,2267,1,0,2,40,36.0,17,3,0
17313,2402,1,0,2,40,40.0,10,1,0
17315,2401,1,0,2,50,30.0,20,1,0
17316,2402,1,0,2,15,20.0,30,2,1
17347,2688,1,0,2,30,16.0,37,2,0
17353,2688,1,0,2,70,28.0,16,2,0
17357,2840,1,0,2,10,18.0,33,3,0
17358,2840,1,0,2,10,40.0,13,2,0
17399,3702,1,0,2,20,40.0,20,1,1
17436,342,0,1,2,20,20.0,7,2,0
17442,410,0,1,2,5,10.0,15,1,0
17444,411,0,1,2,15,20.0,6,3,0
17459,488,0,1,2,10,20.0,0,3,0
17461,488,0,1,2,20,17.0,15,1,0
17466,488,0,1,2,60,19.0,7,2,0
17469,531,0,1,2,10,17.0,13,2,0
17473,531,0,1,2,15,14.0,14,2,0
17480,531,0,1,2,40,22.0,11,1,0
17488,577,0,1,2,10,12.0,19,1,0
17489,577,0,1,2,10,10.0,8,2,0
17493,577,0,1,2,20,17.0,15,2,0
17503,625,0,1,2,40,19.0,12,1,0
17530,789,0,1,2,10,10.0,8,2,0
17535,790,0,1,2,20,25.0,10,2,0
17536,789,0,1,2,25,30.0,5,2,0
17537,789,0,1,2,25,30.0,8,1,0
17540,850,0,1,2,10,20.0,13,2,0
17542,851,0,1,2,20,20.0,15,2,0
17552,916,0,1,2,20,18.0,19,3,0
17559,915,0,1,2,10,30.0,2,2,0
17568,916,0,1,2,20,37.0,1,2,0
17575,984,0,1,2,15,30.0,3,2,0
17582,984,0,1,2,30,30.0,7,1,0
17583,984,0,1,2,40,26.0,14,2,0
17586,1056,0,1,2,5,24.0,15,2,0
17593,1056,0,1,2,30,29.0,8,3,0
17602,1132,0,1,2,10,40.0,1,2,0
17622,1212,0,1,2,30,18.0,21,1,0
17626,1212,0,1,2,40,30.0,9,1,0
17645,1296,0,1,2,30,30.0,7,2,0
17648,1296,0,1,2,40,25.0,15,3,0
17649,1297,0,1,2,60,36.0,9,1,0
17653,1385,0,1,2,10,32.0,11,2,0
17679,1478,0,1,2,25,30.0,15,1,0
17680,1478,0,1,2,40,40.0,3,2,0
17688,1576,0,1,2,5,20.0,23,3,0
17691,1575,0,1,2,15,40.0,8,2,0
17694,1576,0,1,2,20,45.0,1,2,0
17701,1678,0,1,2,10,12.0,34,1,0
17706,1678,0,1,2,20,10.0,29,3,0
17717,1678,0,1,2,10,29.0,19,1,1
17731,1785,0,1,2,5,10.0,3,3,1
17747,2015,0,1,2,15,10.0,36,3,0
17770,2267,0,1,2,20,26.0,27,2,0
17817,531,1,1,1,0,0.0,0,2,1
17822,1056,1,0,1,0,0.0,0,3,1
17826,2267,0,1,1,0,0.0,0,2,0
17829,2840,0,0,1,0,0.0,0,3,2
17849,232,1,1,3,40,24.0,0,2,0
17853,256,1,1,3,35,25.0,0,2,0
17861,311,1,1,3,15,24.0,0,2,0
17864,342,1,1,3,40,26.0,0,2,0
17876,448,1,0,3,10,30.0,0,1,0
17882,448,1,0,3,45,26.0,0,3,0
17894,488,1,0,3,50,32.0,0,2,0
17911,577,1,1,3,60,32.0,0,2,0
17912,577,1,1,3,40,34.0,0,1,2
17918,625,1,1,3,20,38.0,0,1,1
17924,625,1,0,3,65,34.0,0,2,0
17931,677,1,0,3,25,35.0,0,3,0
17953,790,1,0,3,5,30.0,0,2,0
17961,851,1,1,3,40,40.0,0,2,0
17968,851,1,0,3,10,30.0,0,2,0
17974,916,1,1,3,30,40.0,0,2,0
18006,1056,1,0,3,30,40.0,0,1,1
18011,1132,1,1,3,20,40.0,0,1,0
18014,1132,1,1,3,40,40.0,0,2,1
18017,1132,1,1,3,30,40.0,0,2,2
18028,1212,1,0,3,10,40.0,0,2,0
18032,1212,1,0,3,40,44.0,0,3,1
18050,1385,1,1,3,10,46.0,0,3,0
18052,1385,1,1,3,30,43.0,0,3,0
18064,1385,1,0,3,60,46.0,0,2,1
18068,1478,1,1,3,40,50.0,0,2,0
18073,1478,1,1,3,10,40.0,0,1,1
18098,1678,1,1,3,30,50.0,0,3,2
18105,1785,1,1,3,40,49.0,0,2,0
18120,1898,1,1,3,30,50.0,0,1,1
18124,1898,1,0,3,15,50.0,0,2,0
18125,1898,1,0,3,30,50.0,0,2,1
18139,2015,1,1,3,30,50.0,0,1,2
18165,2267,1,1,3,5,53.0,0,2,1
18170,2267,1,0,3,40,53.0,0,3,0
18171,2267,1,0,3,15,53.0,0,1,1
18185,2541,1,0,3,30,60.0,0,2,0
18188,2542,1,0,3,60,54.0,0,1,0
18197,2840,1,1,3,10,60.0,0,2,1
18206,2999,1,1,3,10,58.0,0,2,0
18213,2999,1,0,3,35,56.0,0,1,1
18219,3164,1,1,3,20,60.0,0,2,1
18236,151,0,0,3,5,9.0,0,1,0
18277,448,0,1,3,40,26.0,0,2,0
18280,488,0,1,3,15,32.0,0,2,0
18282,489,0,0,3,5,12.0,0,2,0
18284,488,0,0,3,40,32.0,0,3,0
18292,531,0,0,3,25,32.0,0,1,0
18300,577,0,0,3,5,6.0,0,2,0
18306,626,0,1,3,35,32.0,0,2,0
18330,732,0,0,3,25,34.0,0,2,0
18351,916,0,1,3,20,38.0,0,2,1
18364,1056,0,1,3,30,40.0,0,2,1
18374,1132,0,0,3,15,39.0,0,3,0
18379,1212,0,0,3,40,40.0,0,2,0
18391,1296,0,1,3,60,40.0,0,2,2
18412,1385,0,0,3,20,40.0,0,2,1
18427,1576,0,0,3,30,45.0,0,3,0
18445,1785,0,0,3,20,45.0,0,1,0
18455,1898,0,0,3,10,48.0,0,2,0
18464,2015,0,0,3,15,47.0,0,2,0
18473,2267,0,0,3,15,51.0,0,2,0
18483,2401,0,0,3,20,50.0,0,3,1
18490,2541,0,0,3,10,30.0,0,2,1
18492,2688,0,1,3,20,50.0,0,2,1
18536,411,1,1,2,60,25.0,4,2,0
18565,531,1,1,2,40,16.0,17,3,0
18567,531,1,1,2,40,25.0,5,3,0
18572,577,1,1,2,25,20.0,12,1,0
18590,625,1,1,2,40,28.0,6,1,0
18600,677,1,1,2,10,23.0,7,1,0
18605,677,1,1,2,20,30.0,4,2,0
18613,732,1,1,2,10,23.0,13,1,0
18617,731,1,1,2,15,22.0,9,2,0
18624,732,1,1,2,60,30.0,4,1,0
18626,732,1,1,2,60,34.0,3,1,0
18632,789,1,1,2,20,20.0,15,2,0
18672,915,1,1,2,60,30.0,8,1,0
18696,1056,1,1,2,20,20.0,18,2,0
18699,1056,1,1,2,25,20.0,17,3,0
18700,1056,1,1,2,30,20.0,27,2,0
18703,1056,1,1,2,40,28.0,12,1,0
18706,1056,1,1,2,50,20.0,20,3,0
18714,1132,1,1,2,20,21.0,18,3,0
18718,1132,1,1,2,20,30.0,10,2,0
18739,1212,1,1,2,20,24.0,17,2,0
18802,1385,1,1,2,20,36.0,8,3,1
18808,1478,1,1,2,10,40.0,7,2,0
18814,1478,1,1,2,20,22.0,22,2,0
18822,1478,1,1,2,25,40.0,2,3,0
18831,1478,1,1,2,60,36.0,11,2,0
18832,1478,1,1,2,50,12.0,30,3,1
18836,1478,1,1,2,40,40.0,5,3,2
18837,1576,1,1,2,20,30.0,18,2,0
18842,1576,1,1,2,15,22.0,23,1,0
18847,1576,1,1,2,20,30.0,18,2,0
18848,1576,1,1,2,20,25.0,20,2,0
18855,1576,1,1,2,35,32.0,11,1,0
18858,1576,1,1,2,40,41.0,5,1,0
18869,1678,1,1,2,5,40.0,7,2,0
18871,1678,1,1,2,5,15.0,28,2,0
18873,1678,1,1,2,10,19.0,29,1,0
18877,1678,1,1,2,20,15.0,29,3,0
18889,1678,1,1,2,30,26.0,20,1,0
18890,1678,1,1,2,30,40.0,6,2,0
18896,1678,1,1,2,10,20.0,22,3,1
18898,1678,1,1,2,20,30.0,17,2,1
18940,2015,1,1,2,10,35.0,16,1,0
18949,2015,1,1,2,20,25.0,22,1,0
18959,2015,1,1,2,40,34.0,17,2,1
18973,2138,1,1,2,10,20.0,33,2,0
18978,2139,1,1,2,20,32.0,18,3,0
18985,2138,1,1,2,20,48.0,6,2,1
19027,2401,1,1,2,20,35.0,17,2,0
19030,2401,1,1,2,25,12.0,36,1,0
19034,2402,1,1,2,40,30.0,25,2,0
19037,2402,1,1,2,20,20.0,30,1,1
19040,2401,1,1,2,20,45.0,10,1,1
19045,2542,1,1,2,30,50.0,5,2,0
19050,2542,1,1,2,20,50.0,4,1,1
19053,2688,1,1,2,15,40.0,10,2,0
19059,2688,1,1,2,30,30.0,22,2,0
19069,2840,1,1,2,15,33.0,21,3,0
19087,2999,1,1,2,40,46.0,11,1,0
19102,3337,1,1,2,10,50.0,11,2,0
19113,3516,1,1,2,50,38.0,22,2,0
19125,3702,1,1,2,20,22.0,36,2,1
19135,168,1,0,2,30,16.0,1,3,0
19141,209,1,0,2,50,15.0,4,1,0
19148,283,1,0,2,25,17.0,4,2,0
19150,283,1,0,2,40,12.0,11,1,0
19153,312,1,0,2,15,14.0,10,2,0
19165,375,1,0,2,10,17.0,9,2,0
19175,411,1,0,2,10,20.0,1,3,0
19181,411,1,0,2,20,24.0,5,1,0
19185,410,1,0,2,45,25.0,4,1,0
19198,488,1,0,2,20,18.0,11,2,0
19227,531,1,0,2,20,23.0,7,3,0
19229,531,1,0,2,30,11.0,17,2,0
19235,531,1,0,2,50,26.0,5,2,0
19239,577,1,0,2,5,30.0,0,3,0
19258,577,1,0,2,35,20.0,12,1,0
19260,577,1,0,2,40,23.0,7,2,0
19265,577,1,0,2,40,28.0,3,1,0
19270,577,1,0,2,25,30.0,3,2,1
19273,626,1,0,2,10,22.0,10,2,0
19276,625,1,0,2,20,16.0,17,2,0
19288,625,1,0,2,50,20.0,15,3,0
19292,625,1,0,2,60,10.0,20,2,0
19296,677,1,0,2,30,17.0,17,2,0
19306,677,1,0,2,20,30.0,1,2,0
19325,731,1,0,2,10,30.0,1,2,0
19327,732,1,0,2,10,25.0,10,3,0
19346,790,1,0,2,5,10.0,21,3,0
19357,789,1,0,2,25,14.0,22,1,0
19360,789,1,0,2,25,25.0,14,1,0
19372,789,1,0,2,20,15.0,23,2,1
19403,851,1,0,2,40,38.0,0,3,0
19418,915,1,0,2,10,30.0,7,2,0
19420,916,1,0,2,15,35.0,2,3,0
19423,915,1,0,2,20,35.0,0,1,0
19425,915,1,0,2,30,35.0,2,3,0
19426,916,1,0,2,30,30.0,8,2,0
19427,915,1,0,2,30,25.0,9,2,0
19440,915,1,0,2,50,25.0,9,3,1
19447,984,1,0,2,15,25.0,15,3,0
19457,984,1,0,2,20,41.0,0,3,0
19459,984,1,0,2,25,14.0,26,1,0
19468,984,1,0,2,30,37.0,1,1,0
19470,984,1,0,2,30,31.0,8,1,0
19481,1056,1,0,2,5,30.0,12,2,0
19482,1056,1,0,2,5,30.0,5,2,0
19536,1132,1,0,2,40,25.0,15,1,0
19545,1132,1,0,2,50,35.0,6,1,1
19575,1212,1,0,2,15,20.0,19,2,1
19590,1297,1,0,2,20,40.0,3,2,0
19610,1297,1,0,2,60,32.0,8,2,0
19613,1296,1,0,2,50,40.0,3,2,2
19625,1385,1,0,2,20,43.0,2,1,0
19635,1385,1,0,2,40,36.0,5,3,0
19642,1385,1,0,2,20,36.0,5,3,1
19650,1478,1,0,2,15,30.0,13,2,0
19660,1478,1,0,2,25,14.0,30,1,0
19688,1576,1,0,2,40,24.0,23,1,0
19728,1785,1,0,2,20,38.0,11,2,0
19787,2015,1,0,2,20,47.0,3,1,1
19789,2139,1,0,2,10,30.0,19,2,0
19794,2139,1,0,2,20,30.0,19,2,0
19799,2138,1,0,2,30,42.0,10,2,0
19800,2139,1,0,2,40,40.0,14,2,0
19809,2267,1,0,2,10,13.0,38,2,0
19813,2267,1,0,2,15,12.0,37,2,0
19830,2267,1,0,2,15,40.0,9,2,1
19839,2402,1,0,2,20,30.0,15,2,0
19842,2401,1,0,2,20,40.0,14,2,0
19848,2402,1,0,2,40,27.0,28,2,0
19850,2402,1,0,2,50,30.0,18,2,0
19875,2688,1,0,2,80,51.0,5,2,0
19901,2999,1,0,2,10,51.0,14,1,1
19906,3164,1,0,2,5,54.0,1,1,0
19909,3165,1,0,2,20,32.0,27,1,0
19926,3516,1,0,2,40,50.0,8,2,0
19936,3895,1,0,2,60,21.0,36,1,0
19950,312,0,1,2,10,12.0,12,2,0
19953,342,0,1,2,10,10.0,11,1,0
19972,410,0,1,2,30,30.0,0,1,0
19995,531,0,1,2,10,20.0,8,1,0
20019,625,0,1,2,10,30.0,3,3,0
20040,731,0,1,2,10,14.0,22,2,0
20055,732,0,1,2,40,30.0,8,1,0
20059,789,0,1,2,20,20.0,13,1,0
20078,916,0,1,2,10,20.0,9,3,0
20103,1056,0,1,2,10,25.0,12,1,0
20112,1056,0,1,2,35,35.0,5,3,0
20116,1132,0,1,2,40,20.0,18,2,0
20120,1132,0,1,2,20,18.0,23,2,0
20128,1212,0,1,2,10,20.0,14,1,0
20134,1212,0,1,2,10,20.0,16,2,0
20156,1297,0,1,2,20,39.0,5,2,0
20158,1296,0,1,2,30,40.0,1,1,0
20167,1385,0,1,2,20,40.0,4,2,0
20169,1385,0,1,2,30,36.0,8,2,0
20173,1385,0,1,2,50,40.0,3,3,0
20175,1478,0,1,2,10,24.0,17,1,0
20180,1478,0,1,2,20,23.0,20,3,0
20188,1576,0,1,2,15,20.0,25,1,0
20189,1576,0,1,2,20,21.0,25,2,0
20191,1575,0,1,2,40,40.0,0,1,0
20193,1576,0,1,2,10,30.0,15,2,1
20195,1678,0,1,2,5,20.0,24,3,0
20213,1898,0,1,2,5,20.0,25,1,0
20214,1898,0,1,2,5,19.0,21,2,0
20229,2015,0,1,2,15,38.0,11,1,0
20239,2138,0,1,2,15,50.0,0,3,0
20240,2138,0,1,2,20,25.0,25,3,0
20247,2267,0,1,2,10,26.0,24,2,0
20251,2267,0,1,2,20,30.0,22,2,0
20272,2688,0,1,2,10,17.0,36,3,0
20277,2688,0,1,2,10,30.0,20,2,0
20278,2688,0,1,2,10,40.0,9,2,0
20283,2840,0,1,2,5,51.0,5,2,0
20284,2840,0,1,2,10,47.0,8,2,0
20303,4096,0,1,2,10,45.0,10,1,0
20307,232,0,1,1,0,0.0,0,1,1
20308,410,0,0,1,0,0.0,0,2,2
20309,531,1,1,1,0,0.0,0,3,1
20321,1898,0,1,1,0,0.0,0,2,1
20333,169,1,0,3,40,18.0,0,2,0
20358,283,1,0,3,90,20.0,0,3,0
20368,342,1,0,3,40,26.0,0,2,0
20372,375,1,0,3,5,24.0,0,1,0
20377,410,1,0,3,5,24.0,0,3,0
20380,448,1,1,3,10,30.0,0,2,0
20387,448,1,0,3,80,30.0,0,2,0
20388,448,1,0,3,30,30.0,0,1,1
20395,488,1,0,3,30,30.0,0,1,0
20415,577,1,0,3,15,33.0,0,2,0
20417,577,1,0,3,50,31.0,0,1,0
20433,677,1,0,3,5,5.0,0,1,0
20438,731,1,1,3,25,36.0,0,2,0
20442,731,1,0,3,50,36.0,0,3,0
20447,789,1,1,3,80,36.0,0,1,0
20465,915,1,1,3,20,40.0,0,2,0
20466,915,1,1,3,20,40.0,0,2,0
20472,984,1,1,3,10,40.0,0,1,0
20489,1056,1,0,3,5,30.0,0,2,0
20537,1297,1,0,3,20,40.0,0,2,2
20548,1385,1,0,3,40,40.0,0,2,1
20558,1478,1,0,3,15,46.0,0,2,0
20563,1478,1,0,3,30,40.0,0,2,1
20567,1576,1,1,3,35,50.0,0,1,1
20576,1575,1,0,3,40,45.0,0,1,2
20587,1786,1,1,3,15,50.0,0,1,0
20590,1786,1,1,3,35,50.0,0,1,0
20604,1898,1,1,3,20,50.0,0,3,1
20610,1898,1,0,3,10,50.0,0,2,1
20616,2016,1,0,3,30,50.0,0,1,0
20631,2267,1,0,3,40,53.0,0,2,1
20641,2541,1,1,3,80,57.0,0,3,0
20647,2541,1,0,3,10,50.0,0,3,1
20658,2688,1,0,3,30,60.0,0,1,0
20693,188,0,1,3,15,21.0,0,2,0
20702,232,0,1,3,50,22.0,0,3,0
20705,232,0,0,3,20,16.0,0,3,0
20711,257,0,0,3,35,22.0,0,2,0
20722,311,0,1,3,25,27.0,0,1,0
20729,342,0,1,3,10,14.0,0,3,0
20731,342,0,0,3,10,13.0,0,1,0
20737,375,0,0,3,10,16.0,0,1,0
20740,410,0,1,3,10,31.0,0,3,0
20748,448,0,1,3,50,31.0,0,1,0
20758,531,0,1,3,25,32.0,0,1,0
